threshold,accuracy,approval_rate,decline_rate,default_rate_approved,recall_default,precision_default,tn,fp,fn,tp
0.83,0.7,1.0,0.0,0.3,0.0,0.0,70,0,30,0
0.84,0.7,1.0,0.0,0.3,0.0,0.0,70,0,30,0
0.85,0.7,1.0,0.0,0.3,0.0,0.0,70,0,30,0
0.86,0.7,1.0,0.0,0.3,0.0,0.0,70,0,30,0
0.87,0.7,1.0,0.0,0.3,0.0,0.0,70,0,30,0
0.88,0.7,1.0,0.0,0.3,0.0,0.0,70,0,30,0
0.89,0.7,1.0,0.0,0.3,0.0,0.0,70,0,30,0
0.9,0.7,1.0,0.0,0.3,0.0,0.0,70,0,30,0
0.91,0.7,1.0,0.0,0.3,0.0,0.0,70,0,30,0
0.92,0.7,1.0,0.0,0.3,0.0,0.0,70,0,30,0
0.93,0.7,1.0,0.0,0.3,0.0,0.0,70,0,30,0
0.94,0.7,1.0,0.0,0.3,0.0,0.0,70,0,30,0
0.95,0.7,1.0,0.0,0.3,0.0,0.0,70,0,30,0
